기간,국가,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","","",13556420.4,15815977,751346.0,2422294,13393682
"2022","이탈리아","72","철강",1104987.5,1170589,9683.7,42524,1128065
"2023","이탈리아","72","철강",960400.7,990961,4843.2,23286,967675
"2021","이탈리아","72","철강",735527.8,883830,9833.5,38409,845422
"2022","벨기에","72","철강",730413.1,864744,24209.5,59825,804919
"2023","벨기에","72","철강",685299.0,645472,29115.3,91264,554209
"2021","벨기에","72","철강",563784.0,641289,22091.9,52006,589283
"2024","이탈리아","72","철강",671461.2,635688,3238.4,13210,622478
"2020","이탈리아","72","철강",804802.4,614355,11233.9,31351,583004
"2023","슬로베니아","72","철강",467607.8,521338,841.7,4608,516730
"2023","네덜란드","72","철강",72983.7,517522,5694.2,3946,513576
"2022","슬로베니아","72","철강",429005.4,503565,294.5,1345,502219
"2021","슬로베니아","72","철강",464781.6,493022,777.2,3129,489893
"2021","네덜란드","72","철강",97329.0,486648,3856.6,6231,480417
"2023","스페인","72","철강",429804.5,426583,3124.1,4990,421593
"2022","네덜란드","72","철강",68964.5,416888,1215.5,2693,414195
"2022","스페인","72","철강",282021.3,333696,2038.0,3239,330457
"2024","벨기에","72","철강",361376.4,312329,12243.1,38170,274160
"2020","벨기에","72","철강",430511.9,295590,37895.8,87854,207735
"2024","스페인","72","철강",296423.2,281655,1842.5,2860,278796
"2024","슬로베니아","72","철강",269697.9,280794,181.4,1341,279453
"2021","스페인","72","철강",232950.3,255880,1801.8,2955,252925
"2020","슬로베니아","72","철강",305163.7,245090,1614.8,5339,239751
"2024","네덜란드","72","철강",45503.7,235460,707.4,1040,234420
"2020","네덜란드","72","철강",81482.7,196036,1697.9,3077,192958
"2020","스페인","72","철강",249596.1,173404,2192.9,3081,170323
"2023","폴란드","72","철강",145406.9,167711,1376.0,5438,162273
"2024","폴란드","72","철강",120070.3,131714,371.2,1539,130175
"2020","폴란드","72","철강",112195.1,130362,824.4,3783,126580
"2023","독일","72","철강",84174.0,129077,17561.0,87272,41805
"2023","덴마크","72","철강",125078.8,126996,1495.1,440,126556
"2022","폴란드","72","철강",80487.4,123998,484.8,1582,122416
"2023","포루투갈","72","철강",131784.7,121659,118.4,903,120756
"2021","폴란드","72","철강",66736.5,117840,845.0,3234,114606
"2022","포루투갈","72","철강",103091.1,117192,215.5,1723,115469
"2021","독일","72","철강",48756.5,116464,24109.1,95905,20560
"2022","스웨덴","72","철강",69744.8,111514,65898.6,164501,-52987
"2021","루마니아","72","철강",65671.4,111230,391.3,902,110329
"2022","덴마크","72","철강",102762.8,107525,874.8,354,107172
"2022","루마니아","72","철강",50032.0,94024,307.2,544,93481
"2021","포루투갈","72","철강",84023.0,90921,361.5,1796,89125
"2022","독일","72","철강",20329.3,89410,20955.4,87308,2102
"2023","루마니아","72","철강",67175.3,87963,20.2,208,87756
"2021","스웨덴","72","철강",68727.4,87642,71987.8,154076,-66434
"2024","포루투갈","72","철강",100933.7,83452,67.5,361,83091
"2020","독일","72","철강",34320.0,79980,24944.8,81474,-1494
"2023","스웨덴","72","철강",69608.5,71887,61078.2,159513,-87627
"2024","루마니아","72","철강",62226.7,67776,36.3,201,67575
"2020","스웨덴","72","철강",93127.7,66165,61848.7,128205,-62040
"2022","그리스","72","철강",69610.4,64827,385.6,91,64736
"2024","독일","72","철강",18672.4,59260,8335.0,45121,14138
"2020","루마니아","72","철강",49139.2,55704,112.2,313,55390
"2020","포루투갈","72","철강",88780.4,55293,226.0,1030,54263
"2024","스웨덴","72","철강",40585.4,43823,40430.1,98544,-54720
"2020","덴마크","72","철강",75315.8,42742,2066.7,447,42295
"2022","체코공화국","72","철강",11850.0,32728,1550.6,4227,28501
"2021","체코공화국","72","철강",13275.6,32181,564.4,2277,29904
"2022","헝가리","72","철강",23749.0,32036,0.0,0,32035
"2024","그리스","72","철강",32169.2,31489,0.0,0,31489
"2021","헝가리","72","철강",28059.3,29848,7.1,4,29844
"2023","헝가리","72","철강",23429.7,25954,3.3,3,25951
"2024","덴마크","72","철강",29132.2,25872,61.6,384,25488
"2023","그리스","72","철강",30084.6,25225,130.5,83,25142
"2023","체코공화국","72","철강",8530.3,23325,559.7,6418,16906
"2024","체코공화국","72","철강",9332.6,19546,384.3,2016,17530
"2020","프랑스","72","철강",18386.4,19455,27708.4,133904,-114449
