기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
총계,,,34109912.9,23797910,23149664.9,13078726,10719185
2015,720839,두께가 3밀리미터 미만인 것,2648310,1054896,2101429.5,859127,195769
2015,721049,기타,2888582.4,2135107,826184.6,486157,1648950
2015,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",113668.3,68506,1102612,398128,-329622
2015,721633,에이치(H)형강,1130875.5,637296,590577.4,256841,380455
2015,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,207937.4,362163,143155.7,256450,105714
2015,722511,방향성(方向性)인 것,138090.6,335529,27578.7,48831,286698
2016,720839,두께가 3밀리미터 미만인 것,2402207.1,917211,2296079.8,873887,43324
2016,721049,기타,3122277.2,2208073,1151905.7,615334,1592738
2016,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",104120.7,50195,1301694.8,441672,-391477
2016,721633,에이치(H)형강,1089190.2,491310,505475.5,219076,272234
2016,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,211506.3,325836,161721.6,248379,77458
2016,722511,방향성(方向性)인 것,128440.6,271190,26556.3,45825,225365
2017,720839,두께가 3밀리미터 미만인 것,1917414.3,1001191,2164580.4,1160709,-159518
2017,721049,기타,3329797.8,2617162,1186893.2,781713,1835449
2017,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",40851,22312,1054965.2,518038,-495727
2017,721633,에이치(H)형강,1044873.2,543860,437816.3,243165,300695
2017,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,212531.5,376577,178182.2,327251,49326
2017,722511,방향성(方向性)인 것,158130.6,290252,24188.7,41757,248495
2018,720839,두께가 3밀리미터 미만인 것,1471635.8,910643,1611245.6,976675,-66031
2018,721049,기타,3447950.9,2856330,866070.7,627574,2228756
