기간,철근_수입량,철근_수입금액,열연_수입량,열연_수입금액,철근 국내,열연 국내
2015,540308.8,275647,3789640.9,1603865,648,506
2016,590252.2,255491,3380786.1,1238639,587,571
2017,501161.2,290208,2214359.6,1133270,652,681
2018,299302.7,211216,1096391,677237,762,912
2019,338226.5,219319,1534145.6,844278,728,661
2020,246029.4,151924,928354.1,496381,606,656
2021,350857.1,306095,1204532.9,1048227,999,1762
2022,227241.6,206239,1742554.4,1417673,1133,867
2023,325632.3,239299,2720870.3,1770670,1031,1080
2024,340453.7,240916,2564436.5,1556181,978,941
